date,asset,close,open,high,low,pre_close,change,pct_chg,vol,amount
2013-01-04,000001.SH,2276.992,2289.51,2296.113,2256.56,2269.128,7.864,0.3466,139469931.0,114627763.955
2013-01-07,000001.SH,2285.364,2271.663,2293.317,2266.862,2276.992,8.372,0.3677,118162813.0,96872865.891
2013-01-08,000001.SH,2276.07,2284.654,2289.139,2262.979,2285.364,-9.294,-0.4067,122907877.0,106428762.687
2013-01-09,000001.SH,2275.34,2271.299,2283.896,2259.051,2276.07,-0.73,-0.0321,122014924.0,102823099.451
2013-01-10,000001.SH,2283.658,2274.377,2295.484,2268.648,2275.34,8.318,0.3656,120066676.0,98236402.918
2013-01-11,000001.SH,2242.997,2285.185,2290.205,2234.947,2283.658,-40.661,-1.7805,125068275.0,101550951.798
2013-01-14,000001.SH,2311.74,2236.288,2317.617,2235.107,2242.997,68.743,3.0648,144749889.0,123614926.882
2013-01-15,000001.SH,2325.682,2312.468,2332.783,2309.323,2311.74,13.942,0.6031,165645981.0,141013966.842
2013-01-16,000001.SH,2309.499,2322.158,2326.764,2279.507,2325.682,-16.183,-0.6958,153511167.0,133107693.476
2013-01-17,000001.SH,2284.909,2305.14,2305.602,2275.877,2309.499,-24.59,-1.0647,119101835.0,103214052.378
2013-01-18,000001.SH,2317.07,2295.809,2324.509,2285.972,2284.909,32.161,1.4075,125438026.0,105391533.545
2013-01-21,000001.SH,2328.221,2321.49,2329.581,2305.099,2317.07,11.151,0.4813,134680458.0,113016061.51
2013-01-22,000001.SH,2315.139,2326.49,2335.806,2301.301,2328.221,-13.082,-0.5619,149466584.0,123370049.377
2013-01-23,000001.SH,2320.911,2308.521,2325.118,2296.491,2315.139,5.772,0.2493,118179722.0,96956218.661
2013-01-24,000001.SH,2302.598,2320.258,2362.943,2287.296,2320.911,-18.313,-0.789,161031674.0,135604340.878
2013-01-25,000001.SH,2291.304,2300.001,2308.38,2288.262,2302.598,-11.294,-0.4905,92605741.0,80267388.572
2013-01-28,000001.SH,2346.505,2295.352,2346.921,2295.352,2291.304,55.201,2.4092,128383760.0,116916369.692
2013-01-29,000001.SH,2358.977,2347.215,2363.797,2337.353,2346.505,12.472,0.5315,141853934.0,124916965.356
2013-01-30,000001.SH,2382.475,2360.748,2383.763,2347.89,2358.977,23.498,0.9961,149878907.0,124856037.03
2013-01-31,000001.SH,2385.422,2383.426,2391.821,2371.226,2382.475,2.947,0.1237,139707892.0,116205036.97
2013-02-01,000001.SH,2419.02,2377.414,2421.154,2369.57,2385.422,33.598,1.4085,140818172.0,125554958.223
2013-02-04,000001.SH,2428.154,2425.921,2440.376,2417.585,2419.02,9.134,0.3776,167551402.0,152533693.371
2013-02-05,000001.SH,2433.13,2411.001,2437.415,2403.302,2428.154,4.976,0.2049,150754505.0,127096113.122
2013-02-06,000001.SH,2434.477,2432.677,2441.726,2427.699,2433.13,1.347,0.0554,116579966.0,104583536.94
2013-02-07,000001.SH,2418.53,2430.688,2433.893,2394.218,2434.477,-15.947,-0.655,120008634.0,109335068.114
2013-02-08,000001.SH,2432.402,2416.619,2443.032,2414.398,2418.53,13.872,0.5736,109070386.0,98965224.617
2013-02-18,000001.SH,2421.558,2441.906,2444.804,2415.429,2432.402,-10.844,-0.4458,116174994.0,103657025.088
2013-02-19,000001.SH,2382.914,2420.265,2427.075,2373.535,2421.558,-38.644,-1.5958,123473334.0,106330944.989
2013-02-20,000001.SH,2397.178,2383.493,2397.941,2370.608,2382.914,14.264,0.5986,110280577.0,97222298.954
2013-02-21,000001.SH,2325.951,2378.822,2378.822,2309.171,2397.178,-71.227,-2.9713,144059478.0,126627831.357
2013-02-22,000001.SH,2314.164,2322.94,2330.879,2308.76,2325.951,-11.787,-0.5068,96981828.0,87579820.983
2013-02-25,000001.SH,2325.819,2320.618,2338.78,2315.012,2314.164,11.655,0.5036,88367374.0,77642340.941
2013-02-26,000001.SH,2293.341,2313.74,2340.709,2289.887,2325.819,-32.478,-1.3964,117638667.0,105917189.188
2013-02-27,000001.SH,2313.22,2297.767,2324.627,2292.034,2293.341,19.879,0.8668,97824887.0,88262924.234
2013-02-28,000001.SH,2365.593,2322.323,2366.164,2308.916,2313.22,52.373,2.2641,126950494.0,115918268.401
2013-03-01,000001.SH,2359.506,2364.544,2369.649,2330.858,2365.593,-6.087,-0.2573,120312752.0,111531114.205
2013-03-04,000001.SH,2273.404,2332.08,2333.54,2259.247,2359.506,-86.102,-3.6492,161750025.0,143046508.68
2013-03-05,000001.SH,2326.306,2274.808,2328.143,2270.1,2273.404,52.902,2.327,131136598.0,116721195.608
2013-03-06,000001.SH,2347.179,2333.615,2351.441,2321.6,2326.306,20.873,0.8973,141333692.0,125364797.765
2013-03-07,000001.SH,2324.293,2340.436,2352.021,2304.27,2347.179,-22.886,-0.975,139756348.0,126085892.2
2013-03-08,000001.SH,2318.611,2326.417,2333.667,2314.587,2324.293,-5.682,-0.2445,98794148.0,88438607.018
2013-03-11,000001.SH,2310.593,2314.683,2320.961,2296.583,2318.611,-8.018,-0.3458,84111903.0,73919947.382
2013-03-12,000001.SH,2286.605,2309.158,2333.286,2264.829,2310.593,-23.988,-1.0382,117664456.0,100637092.926
2013-03-13,000001.SH,2263.968,2282.17,2286.329,2253.249,2286.605,-22.637,-0.99,90972788.0,77688955.841
2013-03-14,000001.SH,2270.277,2255.775,2276.222,2253.31,2263.968,6.309,0.2787,80294086.0,69218592.825
2013-03-15,000001.SH,2278.401,2269.315,2312.078,2250.005,2270.277,8.124,0.3578,116477813.0,101578107.326
2013-03-18,000001.SH,2240.016,2267.287,2276.05,2239.214,2278.401,-38.385,-1.6847,93122772.0,81486175.707
2013-03-19,000001.SH,2257.434,2244.265,2261.314,2232.023,2240.016,17.418,0.7776,87582105.0,75512072.273
2013-03-20,000001.SH,2317.374,2257.737,2317.86,2257.421,2257.434,59.94,2.6552,131241284.0,113974254.023
2013-03-21,000001.SH,2324.242,2318.205,2330.813,2311.603,2317.374,6.868,0.2964,119200910.0,104786065.215
2013-03-22,000001.SH,2328.278,2321.403,2331.995,2314.967,2324.242,4.036,0.1736,101167299.0,85951321.52
2013-03-25,000001.SH,2326.715,2334.735,2344.894,2319.908,2328.278,-1.563,-0.0671,97031526.0,85418622.369
2013-03-26,000001.SH,2297.669,2318.578,2319.988,2281.118,2326.715,-29.046,-1.2484,104449015.0,91811327.564
2013-03-27,000001.SH,2301.259,2299.377,2323.477,2288.995,2297.669,3.59,0.1562,96331195.0,85708419.365
2013-03-28,000001.SH,2236.302,2273.552,2273.552,2232.906,2301.259,-64.957,-2.8227,127658698.0,107593508.39
2013-03-29,000001.SH,2236.621,2238.485,2246.868,2228.813,2236.302,0.319,0.0143,85565473.0,73358185.133
2013-04-01,000001.SH,2234.395,2229.46,2243.949,2227.314,2236.621,-2.226,-0.0995,77411774.0,66997534.038
2013-04-02,000001.SH,2227.74,2234.901,2253.421,2220.439,2234.395,-6.655,-0.2978,89714323.0,77596667.316
2013-04-03,000001.SH,2225.295,2232.694,2241.34,2217.252,2227.74,-2.445,-0.1098,81795267.0,68801356.871
2013-04-08,000001.SH,2211.592,2196.238,2212.586,2180.673,2225.295,-13.703,-0.6158,86257470.0,73666169.988
2013-04-09,000001.SH,2225.775,2215.467,2234.725,2215.467,2211.592,14.183,0.6413,82896544.0,73135035.445
2013-04-10,000001.SH,2226.126,2224.934,2233.04,2212.561,2225.775,0.351,0.0158,80619621.0,71090219.578
2013-04-11,000001.SH,2219.553,2236.983,2242.479,2217.265,2226.126,-6.573,-0.2953,73632704.0,62132700.158
2013-04-12,000001.SH,2206.78,2218.095,2226.262,2204.438,2219.553,-12.773,-0.5755,66846340.0,56196878.022
2013-04-15,000001.SH,2181.942,2199.914,2204.987,2177.388,2206.78,-24.838,-1.1255,71632323.0,58162177.672
2013-04-16,000001.SH,2194.846,2169.63,2196.432,2165.784,2181.942,12.904,0.5914,79992178.0,66955845.024
2013-04-17,000001.SH,2193.796,2195.032,2197.508,2178.468,2194.846,-1.05,-0.0478,68314181.0,59986556.162
2013-04-18,000001.SH,2197.602,2181.822,2206.027,2175.444,2193.796,3.806,0.1735,71616927.0,61888122.713
2013-04-19,000001.SH,2244.643,2201.122,2250.11,2200.584,2197.602,47.041,2.1406,109660556.0,95383012.019
2013-04-22,000001.SH,2242.169,2236.402,2245.119,2232.258,2244.643,-2.474,-0.1102,95233730.0,82244998.209
