date,close,state_used,base_position,position,asset_return,gross_return,turnover,cost,net_return,equity,drawdown,risk_action
2019-01-04,4497.8933,趋势下行|波动偏低|价格偏弱,0.5,0.425,0.027653420437518506,0.011752703685945365,0.425,0.0002125,0.011540203685945365,1.0115402036859453,0.0,正常
2019-01-07,4594.1482,趋势下行|波动偏低|价格中性,0.75,0.6123349362661763,0.02139999630493672,0.013103965373479834,0.1873349362661763,9.366746813308814e-05,0.013010297905346746,1.0247006430791346,0.0,正常
2019-01-08,4585.0325,趋势下行|波动偏低|价格中性,0.75,0.5778918638661993,-0.0019841980717991703,-0.0011466519219917413,0.034443072399977015,1.7221536199988507e-05,-0.0011638734581917297,1.0235080211980627,-0.0011638734581917998,正常
2019-01-09,4594.7385,趋势下行|波动偏低|价格中性,0.75,0.5781302651866831,0.002116887939180412,0.0012238369856488625,0.00023840132048380536,1.1920066024190268e-07,0.0012237177849886206,1.0247605061666811,0.0,正常
2019-01-10,4582.4828,趋势下行|波动偏低|价格中性,0.75,0.5881269238112097,-0.0026673335163689416,-0.0015687306557606025,0.009996658624526589,4.998329312263294e-06,-0.0015737289850728657,1.0231478108553687,-0.0015737289850729086,正常
2019-01-11,4621.6108,趋势下行|波动偏低|价格中性,0.75,0.8110507731921502,0.008538602698083375,0.0069252403202611015,0.22292384938094056,0.00011146192469047027,0.006813778395570631,1.0301193133044504,0.0,正常
2019-01-14,4594.1901,趋势下行|波动偏低|价格偏强,0.75,0.7976004775355616,-0.005933147810715855,-0.004732281527116038,0.013450295656588618,6.725147828294309e-06,-0.004739006674944333,1.0252375710027115,-0.004739006674944313,正常
2019-01-15,4644.1664,趋势下行|波动偏低|价格中性,0.75,0.8115242290297746,0.010878152386423867,0.008827884228661032,0.013923751494212988,6.961875747106494e-06,0.008820922352913926,1.0342811120098165,0.0,正常
2019-01-16,4637.1968,趋势上行|波动偏低|价格偏强,0.75,0.8624999999999999,-0.0015007214211790743,-0.0012943722257669514,0.05097577097022532,2.548788548511266e-05,-0.001319860111252064,1.0329160056262534,-0.0013198601112519581,正常
2019-01-17,4595.4901,趋势上行|波动偏低|价格偏强,0.75,0.8624999999999999,-0.008993946515273965,-0.0077572788694237945,0.0,0.0,-0.0077572788694237945,1.0249033881219192,-0.009066900457724292,正常
2019-01-18,4626.4129,趋势下行|波动偏低|价格中性,0.75,0.8624999999999999,0.006728944971506001,0.005803715037923925,0.0,0.0,0.005803715037923925,1.0308516353279815,-0.0033158071263341693,正常
2019-01-21,4655.1105,趋势上行|波动偏低|价格偏强,0.75,0.8624999999999999,0.006202991522870738,0.005350080188476011,0.0,0.0,0.005350080188476011,1.0363667742394078,0.0,正常
2019-01-22,4603.2028,趋势上行|波动偏低|价格偏强,0.75,0.8624999999999999,-0.011150691267156732,-0.00961747121792268,0.0,0.0,-0.00961747121792268,1.0263995466169489,-0.00961747121792278,正常
2019-01-23,4609.6722,趋势上行|波动偏低|价格中性,0.5,0.575,0.0014054127704301589,0.0008081123429973413,0.2875,0.00014375,0.0006643623429973413,1.0270814478245907,-0.008959498360637475,正常
2019-01-24,4635.7473,趋势上行|波动偏低|价格中性,0.5,0.575,0.005656606124834651,0.003252548521779924,0.0,0.0,0.003252548521779924,1.0304220800694601,-0.005736091042006342,正常
2019-01-25,4607.9448,趋势上行|波动偏低|价格偏强,0.75,0.8624999999999999,-0.0059974149151744705,-0.00517277036433798,0.2875,0.00014375,-0.00531652036433798,1.0249438200969074,-0.011022115361507767,正常
2019-01-28,4570.3992,趋势上行|波动偏低|价格中性,0.5,0.575,-0.008148014273087756,-0.00468510820702546,0.2875,0.00014375,-0.004828858207025459,1.0199945117194924,-0.015797749336311062,正常
